Model,distance,SNR,mcs_choice
5,53.7237,2.56294,0
4,48.3001,12.2681,1
5,39.9461,0,5
2,73.0654,39.222,9
2,12.7393,53.8605,9
6,36.1029,0,1
2,14.3105,38.1274,9
6,5.2537,0,6
4,82.2657,48.8482,9
5,44.5193,0,5
5,93.4321,0,5
5,46.157,0,5
4,53.3322,13.8682,1
4,83.0195,30.2145,6
6,47.3604,0,1
4,91.8234,28.8328,6
4,6.6946,7.3483,1
4,0.961357,43.934,9
3,17.0878,38.9578,9
5,86.7026,0,5
2,75.0757,0,0
4,41.5543,5.69328,1
3,43.8158,8.63685,1
5,50.2213,0,5
5,99.8129,0,5
2,38.2109,30.7192,9
4,60.2614,0,0
5,62.7528,0,5
5,65.4348,0,5
2,72.7704,3.7417,0
3,6.0278,2.5422,0
6,37.0309,0,1
3,0.368619,52.2614,9
3,79.5895,38.3461,9
3,56.444,0,0
6,57.322,0,1
3,63.1838,0,0
4,97.7322,53.0475,9
6,56.75,0,1
4,41.5768,13.1121,1
3,83.8451,27.8874,8
4,63.879,47.7201,9
2,33.6937,42.9799,9
4,44.2393,10.0021,1
5,59.0249,0,5
5,90.6001,5.80316,0
6,37.7055,3.52538,0
4,40.4871,7.82617,1
6,42.8018,0,1
5,36.3623,14.7078,1
4,11.4409,41.2844,8
5,89.9412,0,5
4,99.8496,50.175,9
2,89.0377,50.7519,9
6,28.9397,8.21734,1
4,12.2896,32.3168,7
6,56.6708,0,1
2,25.2132,14.3235,3
3,32.1976,28.7137,8
4,88.1129,36.7091,8
3,39.0185,47.6549,9
3,2.6633,7.6333,1
6,16.7564,0,6
3,72.5302,6.36587,1
4,85.7116,20.5087,3
4,26.857,32.894,7
4,76.5291,20.0376,3
4,12.5547,51.4518,9
5,48.2035,0,5
4,86.0255,27.6337,5
2,93.1933,55.9211,9
5,3.31095,40.7757,9
4,54.079,52.4872,9
4,21.8436,24.9263,4
2,26.8402,55.6004,9
5,13.3469,12.6285,2
3,65.9605,41.7708,9
3,53.3095,18.6145,4
6,58.5574,0,0
5,76.3457,0,5
3,3.20105,19.8395,4
4,3.30144,14.7763,2
6,26.8058,0,0
4,20.6386,36.5704,8
5,12.9223,9.06896,1
